site_id,lat,lon,ix,iy,std_elev,mean_slope,TRI,max_relief,elongation,cluster_id
site_00000,50.73097,1.725,41875,15142,27.62,4.618,0.74,184.0,1.5876,0
site_00001,49.03597,-1.25278,31155,21244,21.66,3.922,0.67,162.0,1.5384,0
site_00002,52.92819,-7.85972,7370,7232,43.43,3.143,0.58,344.8,1.6308,0
site_00003,47.78042,0.05,35845,25764,19.21,4.746,0.87,114.3,1.5553,0
site_00004,46.77597,5.35417,54940,29380,11.24,3.425,0.64,63.2,1.6163,0
site_00005,40.43542,-1.99722,28475,52206,129.14,14.019,1.28,711.1,1.4826,1
site_00006,42.13042,-8.69722,4355,46104,156.99,11.921,1.49,701.7,1.128,1
site_00007,46.90153,7.68056,63315,28928,120.02,13.464,1.54,620.3,1.4052,1
site_00008,48.40819,6.93611,60635,23504,104.74,13.217,1.51,633.8,1.462,1
site_00009,43.38597,-1.25278,31155,41584,84.56,12.19,1.28,667.7,1.6881,1
site_00010,50.73097,4.98194,53600,15142,23.14,2.397,0.41,126.8,1.6578,2
site_00011,45.95986,3.30694,47570,32318,23.94,2.294,0.33,155.8,1.562,2
site_00012,49.22431,5.63333,55945,20566,15.28,2.485,0.43,78.6,1.645,2
site_00013,43.69986,4.33056,51255,40454,33.53,2.482,0.39,148.1,1.7087,2
site_00014,53.36764,-4.32361,20100,5650,34.3,3.056,0.48,176.0,1.5929,2
site_00015,46.02264,1.35278,40535,32092,76.31,10.133,1.47,400.8,1.4749,3
site_00016,50.22875,5.54028,55610,16950,91.23,9.826,1.54,422.3,1.6289,3
site_00017,45.52042,2.28333,43885,33900,37.53,8.941,1.42,306.3,1.5132,3
site_00018,50.98208,7.21528,61640,14238,45.69,9.665,1.7,237.3,1.3519,3
site_00019,43.38597,-5.90556,14405,41584,86.99,11.925,1.28,577.6,1.4973,3
site_00020,41.69097,0.05,35845,47686,78.29,5.505,0.72,431.5,1.4599,4
site_00021,52.67708,-6.37083,12730,8136,54.29,4.307,0.61,333.9,1.5303,4
site_00022,46.14819,5.35417,54940,31640,75.56,7.558,0.83,365.6,1.2768,4
site_00023,46.27375,3.12083,46900,31188,52.87,4.427,0.66,290.6,1.4944,4
site_00024,43.69986,6.09861,57620,40454,78.47,7.282,0.73,575.5,1.5878,4
site_00025,40.81208,9.07639,68340,50850,279.76,16.303,1.2,1278.2,1.7295,5
site_00026,44.45319,8.89028,67670,37742,220.6,17.653,1.7,993.0,2.3016,5
site_00027,40.81208,9.2625,69010,50850,222.71,11.317,0.98,1194.3,1.896,5
site_00028,47.02708,8.425,65995,28476,288.85,11.849,1.07,1383.5,1.7334,5
site_00029,40.87486,-3.76528,22110,50624,231.93,13.572,0.78,1221.1,1.7135,5
site_00030,48.21986,7.12222,61305,24182,192.78,18.211,1.6,906.8,1.5198,6
site_00031,42.75819,-1.06667,31825,43844,136.55,20.963,1.71,736.0,1.3822,6
site_00032,40.37264,-6.18472,13400,52432,158.02,20.364,1.49,899.9,1.5945,6
site_00033,48.47097,8.05278,64655,23278,171.72,15.496,1.63,734.4,1.4505,6
site_00034,44.26486,5.35417,54940,38420,204.7,19.146,1.32,1047.4,1.3613,6
site_00035,44.70431,5.26111,54605,36838,248.31,22.225,1.62,1312.0,1.5092,7
site_00036,44.51597,9.16944,68675,37516,207.11,26.128,2.15,1317.9,1.4759,7
site_00037,42.31875,1.07361,39530,45426,330.25,24.174,1.71,1418.9,1.6133,7
site_00038,43.88819,7.21528,61640,39776,290.9,29.004,2.14,1484.3,1.6668,7
site_00039,42.31875,-6.46389,12395,45426,276.35,19.781,0.99,1459.9,1.4368,7
site_00040,51.60986,-9.90694,0,11978,69.47,3.503,0.46,486.7,2.3493,8
site_00041,53.93264,-9.72083,670,3616,138.8,6.843,0.81,711.8,2.1998,8
site_00042,49.72653,-1.81111,29145,18758,49.67,1.563,0.17,209.4,2.2503,8
site_00043,43.57431,-6.92917,10720,40906,56.34,3.121,0.37,347.0,2.4741,8
site_00044,44.32764,8.51806,66330,38194,133.69,11.154,1.07,772.2,2.5189,8
site_00045,50.60542,6.65694,59630,15594,75.5,5.189,0.81,340.5,1.7414,9
site_00046,41.43986,-3.11389,24455,48590,82.86,7.441,0.72,348.8,1.628,9
site_00047,51.79819,-0.69444,33165,11300,49.74,3.697,0.66,209.8,1.7599,9
site_00048,40.56097,0.42222,37185,51754,71.91,4.259,0.46,490.6,1.6759,9
site_00049,51.10764,-0.13611,35175,13786,31.36,5.008,1.1,154.2,1.8304,9
site_00050,49.28708,0.32917,36850,20340,31.07,4.736,0.75,162.7,1.4316,10
site_00051,52.42597,7.86667,63985,9040,15.23,3.1,0.73,91.6,1.4405,10
site_00052,46.58764,2.46944,44555,30058,35.41,3.943,0.69,211.0,1.449,10
site_00053,51.92375,6.84306,60300,10848,7.33,3.271,0.79,89.1,1.4879,10
site_00054,48.91042,0.32917,36850,21696,31.47,4.369,0.68,201.7,1.4385,10
site_00055,45.89708,3.95833,49915,32544,133.02,9.283,0.94,682.5,1.3555,11
site_00056,41.94208,-7.85972,7370,46782,131.39,9.897,0.83,858.5,1.4386,11
site_00057,40.37264,-5.06806,17420,52432,143.49,11.359,0.84,959.1,1.4215,11
site_00058,46.65042,6.93611,60635,29832,105.9,7.974,0.98,862.6,1.5223,11
site_00059,42.69542,-7.95278,7035,44070,96.43,7.923,0.88,665.3,1.4176,11
site_00060,49.41264,6.84306,60300,19888,48.51,7.33,1.04,275.7,1.4851,12
site_00061,46.08542,0.79444,38525,31866,21.82,4.923,0.99,212.3,1.4858,12
site_00062,47.52931,9.16944,68675,26668,71.88,6.532,1.02,382.7,1.4528,12
site_00063,51.60986,9.44861,69680,11978,71.72,7.739,1.22,358.1,1.5233,12
site_00064,50.04042,5.54028,55610,17628,50.09,6.87,1.09,298.2,1.6117,12
site_00065,42.25597,-1.81111,29145,45652,42.2,2.974,0.43,202.7,1.2924,13
site_00066,51.54708,-9.81389,335,12204,53.22,2.612,0.32,338.1,1.0973,13
site_00067,41.56542,8.79722,67335,48138,101.04,4.735,0.39,565.8,1.1636,13
site_00068,42.38153,-5.44028,16080,45200,29.26,1.92,0.25,167.3,1.3021,13
site_00069,42.00486,-6.18472,13400,46556,29.38,3.822,0.44,247.4,1.3654,13
site_00070,46.83875,0.14306,36180,29154,18.61,2.557,0.43,112.9,1.4796,14
site_00071,45.01819,-0.7875,32830,35708,11.85,2.263,0.54,64.6,1.4349,14
site_00072,53.05375,-7.20833,9715,6780,28.62,2.752,0.47,205.4,1.3951,14
site_00073,47.84319,-1.34583,30820,25538,17.57,2.954,0.46,127.5,1.4251,14
site_00074,52.67708,7.12222,61305,8136,2.97,1.704,0.47,33.0,1.4571,14
site_00075,43.38597,-1.81111,29145,41584,80.19,5.268,0.57,541.9,2.9914,15
site_00076,50.10319,-5.44028,16080,17402,43.05,1.968,0.28,234.0,2.7833,15
site_00077,42.56986,-8.88333,3685,44522,53.03,1.931,0.24,570.7,3.354,15
site_00078,43.57431,-5.53333,15745,40906,60.41,2.859,0.37,337.0,3.5886,15
site_00079,43.57431,-7.20833,9715,40906,104.18,4.164,0.43,563.6,3.2055,15
site_00080,40.18431,-1.06667,31825,53110,214.72,14.445,1.22,997.6,1.4388,16
site_00081,42.69542,-6.46389,12395,44070,234.47,15.109,1.06,1206.7,1.4569,16
site_00082,42.44431,-7.39444,9045,44974,204.31,16.091,1.24,895.9,1.4991,16
site_00083,42.25597,-7.58056,8375,45652,233.92,9.372,0.98,1111.5,1.3406,16
site_00084,42.31875,-3.3,23785,45426,149.42,13.35,1.1,1219.4,1.4549,16
site_00085,40.18431,-6.65,11725,53110,143.37,10.79,0.99,802.4,1.733,17
site_00086,52.04931,-9.72083,670,10396,216.8,9.389,1.11,1032.4,2.0192,17
site_00087,42.38153,-3.11389,24455,45200,154.56,13.39,1.06,648.3,1.6829,17
site_00088,42.25597,-8.69722,4355,45652,126.75,8.284,0.94,620.2,1.7937,17
site_00089,43.38597,-2.83472,25460,41584,126.41,13.204,1.34,685.2,1.7646,17
site_00090,51.92375,-5.25417,16750,10848,33.36,1.743,0.26,174.0,1.9519,18
site_00091,49.34986,-0.04306,35510,20114,35.85,1.382,0.22,153.5,2.0276,18
site_00092,54.37208,-9.53472,1340,2034,31.07,0.721,0.1,302.1,2.0947,18
site_00093,45.14375,-0.69444,33165,35256,13.75,1.63,0.3,83.2,1.9027,18
site_00094,49.97764,1.25972,40200,17854,53.22,2.84,0.44,175.2,1.8173,18
site_00095,41.87931,-2.92778,25125,47008,88.49,9.429,1.06,496.8,1.5314,19
site_00096,47.78042,8.425,65995,25764,102.64,10.072,1.2,473.3,1.4938,19
site_00097,43.32319,-7.95278,7035,41810,86.37,10.638,1.09,439.1,1.4457,19
site_00098,41.56542,-6.65,11725,48138,86.43,13.275,1.07,531.4,1.5303,19
site_00099,43.95097,3.30694,47570,39550,69.96,9.696,0.81,476.8,1.5287,19
